,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,seqno,object_type,v_object_name,object_name,field_name,data_type,pk_fk,required,sample_value
0,0,0,0,0,1,View,_SessionDefinition8hour,SessionDefinition,SessionName,nvarchar,,Y,(_.) 09:00-20:00
1,1,1,1,1,1,View,_SessionDefinition8hour,SessionDefinition,LocationUID,int,FK,N,3
2,2,2,2,2,1,View,_SessionDefinition8hour,SessionDefinition,ServiceUID,int,FK,N,2159
3,3,3,3,3,1,View,_SessionDefinition8hour,SessionDefinition,CareProviderUID,int,FK,N,
4,4,4,4,4,1,View,_SessionDefinition8hour,SessionDefinition,SpecialityUID,int,FK,N,
5,5,5,5,5,1,View,_SessionDefinition8hour,SessionDefinition,MUser,int,,Y,164
6,6,6,6,6,1,View,_SessionDefinition8hour,SessionDefinition,StatusFlag,nvarchar,,Y,A
7,7,7,7,7,1,View,_SessionDefinition8hour,SessionDefinition,OwnerOrganisationUID,int,FK,Y,18
8,8,8,8,8,2,View,A_Admission_Diagnosis,PayorAgreement,UID,int,PK,Y,1840
9,9,9,9,9,2,View,A_Admission_Diagnosis,PayorAgreement,Description,nvarchar,,N,(_______) SCG Card(________ _____ ___________)
10,10,10,10,10,2,View,A_Admission_Diagnosis,Problem,UID,int,PK,Y,1
11,11,11,11,11,2,View,A_Admission_Diagnosis,Problem,Code,nvarchar,,N,A00.0
12,12,12,12,12,2,View,A_Admission_Diagnosis,Problem,Name,nvarchar,,N, Acute and transient psychotic disorder
13,13,13,13,13,2,View,A_Admission_Diagnosis,PatientVisitID,Identifier,nvarchar,,Y,E18-14-012398
14,14,14,14,14,2,View,A_Admission_Diagnosis,PatientVisitID,PatientVisitUID,bigint,FK,Y,0
15,15,15,15,15,2,View,A_Admission_Diagnosis,Patient,UID,bigint,PK,Y,1
16,16,16,16,16,2,View,A_Admission_Diagnosis,Patient,SEXXXUID,int,FK,N,55630
17,17,17,17,17,2,View,A_Admission_Diagnosis,Patient,NATNLUID,int,FK,N,99403
18,18,18,18,18,2,View,A_Admission_Diagnosis,Patient,BirthDttm,datetime,,N,Nov 10 1973 12:00AM
19,19,19,19,19,2,View,A_Admission_Diagnosis,Patient,StatusFlag,nvarchar,,Y,A
20,20,20,20,20,2,View,A_Admission_Diagnosis,Careprovider,UID,int,PK,Y,1
21,21,21,21,21,2,View,A_Admission_Diagnosis,ReferenceValue,UID,int,PK,Y,55630
22,22,22,22,22,2,View,A_Admission_Diagnosis,ReferenceValue,Description,nvarchar,,Y, 
23,23,23,23,23,2,View,A_Admission_Diagnosis,PatientBill,PatientVisitUID,bigint,FK,N,127181
24,24,24,24,24,2,View,A_Admission_Diagnosis,PatientBill,PayorAgreementUID,int,FK,N,3521
25,25,25,25,25,2,View,A_Admission_Diagnosis,PatientAddress,Line1,nvarchar,,N,10-02 AB 
26,26,26,26,26,2,View,A_Admission_Diagnosis,PatientAddress,Line2,nvarchar,,N,10 floor 
27,27,27,27,27,2,View,A_Admission_Diagnosis,PatientAddress,Line3,nvarchar,,N,
28,28,28,28,28,2,View,A_Admission_Diagnosis,PatientAddress,STATEUID,int,FK,N,110648
29,29,29,29,29,2,View,A_Admission_Diagnosis,PatientAddress,CNTRYUID,int,FK,N,46512
30,30,30,30,30,2,View,A_Admission_Diagnosis,PatientAddress,ADTYPUID,int,FK,N,4618
31,31,31,31,31,2,View,A_Admission_Diagnosis,PatientAddress,PatientUID,bigint,FK,Y,1
32,32,32,32,32,2,View,A_Admission_Diagnosis,PatientAddress,StatusFlag,nvarchar,,Y,A
33,33,33,33,33,2,View,A_Admission_Diagnosis,PatientAddress,CITTYUID,int,FK,N,109693
34,34,34,34,34,2,View,A_Admission_Diagnosis,PatientVisit,UID,bigint,PK,Y,1
35,35,35,35,35,2,View,A_Admission_Diagnosis,PatientVisit,PatientUID,bigint,FK,Y,0
36,36,36,36,36,2,View,A_Admission_Diagnosis,PatientVisit,ENTYPUID,int,FK,Y,1379
37,37,37,37,37,2,View,A_Admission_Diagnosis,PatientVisit,CareProviderUID,int,FK,N,
38,38,38,38,38,2,View,A_Admission_Diagnosis,PatientVisit,LocationUID,int,FK,N,
39,39,39,39,39,2,View,A_Admission_Diagnosis,PatientVisit,EndDttm,datetime,,N,
40,40,40,40,40,2,View,A_Admission_Diagnosis,PatientVisit,OrganisationUID,int,FK,N,
