,seqno,object_type,v_object_name,object_name,field_name,data_type,pk_fk,required,sample_value
0,1,View,_SessionDefinition8hour,SessionDefinition,SessionName,nvarchar,,Y,(_.) 09:00-20:00
1,1,View,_SessionDefinition8hour,SessionDefinition,LocationUID,int,FK,N,3
2,1,View,_SessionDefinition8hour,SessionDefinition,ServiceUID,int,FK,N,2159
3,1,View,_SessionDefinition8hour,SessionDefinition,CareProviderUID,int,FK,N,
4,1,View,_SessionDefinition8hour,SessionDefinition,SpecialityUID,int,FK,N,
5,1,View,_SessionDefinition8hour,SessionDefinition,MUser,int,,Y,164
6,1,View,_SessionDefinition8hour,SessionDefinition,StatusFlag,nvarchar,,Y,A
7,1,View,_SessionDefinition8hour,SessionDefinition,OwnerOrganisationUID,int,FK,Y,18
8,2,View,A_Admission_Diagnosis,PayorAgreement,UID,int,PK,Y,1840
9,2,View,A_Admission_Diagnosis,PayorAgreement,Description,nvarchar,,N,(_______) SCG Card(________ _____ ___________)
10,2,View,A_Admission_Diagnosis,Problem,UID,int,PK,Y,1
11,2,View,A_Admission_Diagnosis,Problem,Code,nvarchar,,N,A00.0
12,2,View,A_Admission_Diagnosis,Problem,Name,nvarchar,,N, Acute and transient psychotic disorder
13,2,View,A_Admission_Diagnosis,PatientVisitID,Identifier,nvarchar,,Y,E18-14-012398
14,2,View,A_Admission_Diagnosis,PatientVisitID,PatientVisitUID,bigint,FK,Y,0
15,2,View,A_Admission_Diagnosis,Patient,UID,bigint,PK,Y,1
16,2,View,A_Admission_Diagnosis,Patient,SEXXXUID,int,FK,N,55630
17,2,View,A_Admission_Diagnosis,Patient,NATNLUID,int,FK,N,99403
18,2,View,A_Admission_Diagnosis,Patient,BirthDttm,datetime,,N,Nov 10 1973 12:00AM
19,2,View,A_Admission_Diagnosis,Patient,StatusFlag,nvarchar,,Y,A
20,2,View,A_Admission_Diagnosis,Careprovider,UID,int,PK,Y,1
21,2,View,A_Admission_Diagnosis,ReferenceValue,UID,int,PK,Y,55630
22,2,View,A_Admission_Diagnosis,ReferenceValue,Description,nvarchar,,Y, 
23,2,View,A_Admission_Diagnosis,PatientBill,PatientVisitUID,bigint,FK,N,127181
24,2,View,A_Admission_Diagnosis,PatientBill,PayorAgreementUID,int,FK,N,3521
25,2,View,A_Admission_Diagnosis,PatientAddress,Line1,nvarchar,,N,10-02 AB 
26,2,View,A_Admission_Diagnosis,PatientAddress,Line2,nvarchar,,N,10 floor 
27,2,View,A_Admission_Diagnosis,PatientAddress,Line3,nvarchar,,N,
28,2,View,A_Admission_Diagnosis,PatientAddress,STATEUID,int,FK,N,110648
29,2,View,A_Admission_Diagnosis,PatientAddress,CNTRYUID,int,FK,N,46512
30,2,View,A_Admission_Diagnosis,PatientAddress,ADTYPUID,int,FK,N,4618
31,2,View,A_Admission_Diagnosis,PatientAddress,PatientUID,bigint,FK,Y,1
32,2,View,A_Admission_Diagnosis,PatientAddress,StatusFlag,nvarchar,,Y,A
